Fuel,Date,CCM,Horse_power,KW,Kms_run,Price,Name
Dízel,2010/3,2 148 cm³,170 LE,125 kW,300 250 km,1 850 000,MERCEDES-BENZ C 220 T CDI Elegance (Automata)
Dízel,2010/4,2 143 cm³,170 LE,125 kW,350 000 km,1 850 000,MERCEDES-BENZ C 220
Dízel,2007/1,2 148 cm³,150 LE,110 kW,197 120 km,1 870 000,MERCEDES-BENZ C 220 CDI Sportcoupe TÖRÉSMENTES SZÉP ÁLLAPOT!!!
Dízel,2004/10,2 148 cm³,150 LE,110 kW,276 000 km,1 899 000,MERCEDES-BENZ C 220 CDI Bőr belső! Megkímélt!
Dízel,2006/11,2 148 cm³,150 LE,110 kW,147 777 km,1 949 000,MERCEDES-BENZ C 220 CDI Elegance (Automata)
Dízel,2006/2,2 148 cm³,150 LE,110 kW,203 341 km,1 990 000,MERCEDES-BENZ C 220 CDI Avantgarde (Automata) TEMP!ÜLÉSFŰTÉS!NAVI!
Dízel,2007/10,2 148 cm³,170 LE,125 kW,235 000 km,1 995 000,MERCEDES-BENZ C 220 CDI Elegance (Automata)
Dízel,2007/2,2 148 cm³,150 LE,110 kW,176 852 km,1 999 000,MERCEDES-BENZ C 220 CDI Elegance NAVI+TEMPOMAT+ALUFELNI!!
Dízel,2006/11,2 148 cm³,150 LE,110 kW,288 000 km,1 999 999,MERCEDES-BENZ C 220 T CDI Avantgarde (Automata) SPORT EDITION vezetett szerviz
Dízel,2004/11,2 148 cm³,150 LE,110 kW,250 020 km,2 070 000,MERCEDES-BENZ C 220 CDI Avantgarde
Dízel,2008/10,2 148 cm³,170 LE,125 kW,454 659 km,2 100 000,MERCEDES-BENZ C 220 CDI Avantgarde (Automata)
Dízel,2008/7,2 148 cm³,170 LE,125 kW,277 000 km,2 150 000,MERCEDES-BENZ C 220 CDI Avantgarde 204 K
Dízel,2008/11,2 148 cm³,170 LE,125 kW,270 000 km,1 900 000,MERCEDES-BENZ C 220 T CDI Avantgarde C220T CDI
Dízel,2008/5,2 148 cm³,170 LE,125 kW,290 089 km,1 990 000,MERCEDES-BENZ C 220 T CDI Avantgarde (Automata) 1.TULAJ/GAR.KM
Dízel,2008/4,2 148 cm³,170 LE,125 kW,260 000 km,2 199 000,MERCEDES-BENZ C 220 T CDI Avantgarde (Automata) BŐR.NAVI.BIXENON.AMG PACKET
Dízel,2010/6,2 143 cm³,170 LE,125 kW,199 395 km,2 200 000,MERCEDES-BENZ C 220 T CDI BlueEFFICIENCY Classic (Automata)
Dízel,2008/1,2 148 cm³,170 LE,125 kW,403 000 km,2 250 000,MERCEDES-BENZ C 220 CDI Elegance (Automata)
Dízel,2002/12,2 148 cm³,143 LE,105 kW,139 000 km,2 288 000,MERCEDES-BENZ C 220 CDI Avantgarde (Automata)
Dízel,2009/7,2 148 cm³,170 LE,125 kW,342 000 km,2 290 000,MERCEDES-BENZ C 220 CDI Elegance
Dízel,2008,2 148 cm³,170 LE,125 kW,275 000 km,2 250 000,MERCEDES-BENZ C 220 CDI Avantgarde szervizkönyv Avantgarde tolatóradar
Dízel,2009/10,2 143 cm³,170 LE,125 kW,299 000 km,2 300 000,MERCEDES-BENZ C 220 T CDI BlueEFFICIENCY Elegance
Dízel,2009/2,2 148 cm³,170 LE,125 kW,314 578 km,2 145 000,MERCEDES-BENZ C 220 T CDI Classic
Dízel,2010/4,2 143 cm³,170 LE,125 kW,183 350 km,2 300 000,MERCEDES-BENZ C 220 T CDI BlueEFFICIENCY Classic (Automata)
Dízel,2008/5,2 148 cm³,170 LE,125 kW,224 000 km,2 350 000,MERCEDES-BENZ C 220 T CDI Avantgarde MANUÁLIS VÁLTÓ JÓ ÁLLAPOT
Dízel,2007/7,2 148 cm³,170 LE,125 kW,310 000 km,2 350 000,MERCEDES-BENZ C 220 CDI Classic
Dízel,2008/12,2 148 cm³,170 LE,125 kW,280 000 km,2 350 000,MERCEDES-BENZ C 220 T CDI Avantgarde (Automata) Navigáció!
Dízel,2010/5,2 143 cm³,170 LE,125 kW,343 000 km,2 350 000,MERCEDES-BENZ C 220 CDI BlueEFFICIENCY Avantgarde
Dízel,2008,2 148 cm³,170 LE,125 kW,242 000 km,2 399 000,MERCEDES-BENZ C 220 T CDI Avantgarde Navi-Xenon-PDC
Dízel,2007/8,2 148 cm³,170 LE,125 kW,240 150 km,2 435 000,MERCEDES-BENZ C 220 CDI Elegance
Dízel,2009/10,2 143 cm³,170 LE,125 kW,247 900 km,2 450 000,MERCEDES-BENZ C 220 T CDI BlueEFFICIENCY Avantgarde /Panoráma/6-os kéziváltó/Navi/
Dízel,2010/10,2 148 cm³,170 LE,125 kW,1 km,2 490 000,MERCEDES-BENZ C 220 CDI Avantgarde (Automata)
Dízel,1999/9,2 151 cm³,125 LE,92 kW,97 410 km,2 490 000,MERCEDES-BENZ C 220 CDI Elegance 97410 KM
Dízel,2009/11,2 143 cm³,170 LE,125 kW,297 000 km,2 499 000,MERCEDES-BENZ C 220 T CDI BlueEFFICIENCY Classic (Automata)
Dízel,2008/11,2 148 cm³,170 LE,125 kW,260 000 km,2 500 000,MERCEDES-BENZ C 220 T CDI Avantgarde (Automata)
Dízel,2009/5,2 148 cm³,170 LE,125 kW,365 604 km,2 500 000,MERCEDES-BENZ C 220 CDI Elegance (Automata)
Dízel,2007/11,2 148 cm³,170 LE,125 kW,219 000 km,2 550 000,MERCEDES-BENZ C 220 T CDI Avantgarde
Dízel,2007/12,2 148 cm³,170 LE,125 kW,299 000 km,2 590 000,MERCEDES-BENZ C 220 CDI Elegance (Automata)
Dízel,2010/5,2 143 cm³,170 LE,125 kW,190 000 km,2 599 000,MERCEDES-BENZ C 220 T CDI BlueEFFICIENCY Classic (Automata) JÓ ÁLLAPOT. KÉT ÉV MŰSZAKI
Dízel,2007/5,2 148 cm³,150 LE,110 kW,240 000 km,2 599 000,MERCEDES-BENZ C 220 CDI Avantgarde (Automata) Barna bőr. navi. üvegtető. aut. memóriás ülés. radar. xenon
Dízel,2011/1,2 143 cm³,170 LE,125 kW,239 743 km,2 599 999,MERCEDES-BENZ C 220 T CDI BlueEFFICIENCY Elegance (Automata) MEGA AKCIÓ+SZERVIZK+JÓ AUTÓ
Dízel,2010/11,2 143 cm³,170 LE,125 kW,205 000 km,2 599 999,MERCEDES-BENZ C 220 T CDI BlueEFFICIENCY Avantgarde (Automata) Napfénytető Ülésfűtés Navi
Dízel,2010/11,2 143 cm³,170 LE,125 kW,170 000 km,2 600 000,MERCEDES-BENZ C 220 CDI BlueEFFICIENCY Classic
Dízel,2007/10,2 148 cm³,170 LE,125 kW,219 200 km,2 600 000,MERCEDES-BENZ C 220 CDI Avantgarde
Dízel,2007/10,2 148 cm³,170 LE,125 kW,283 740 km,2 650 000,MERCEDES-BENZ C 220 CDI Avantgarde (Automata) KLÍMA!RADAR!ALU.!TEMPOMAT!
Dízel,2009/6,2 148 cm³,170 LE,125 kW,190 000 km,2 650 000,MERCEDES-BENZ C 220 CDI Classic (Automata) AUTOMATA.ELSŐ TULAJDONOS.ÚJSZERŰ ÁLLAPOT
Dízel,2008/11,2 148 cm³,170 LE,125 kW,209 445 km,2 690 000,MERCEDES-BENZ C 220 T CDI Elegance (Automata) AMG // BŐR-F1'VÁLTÓ-NAVI-17'ALUF
Dízel,2008/3,2 148 cm³,170 LE,125 kW,219 000 km,2 690 000,MERCEDES-BENZ C 220 CDI Avantgarde (Automata)
Dízel,2011/1,2 143 cm³,170 LE,125 kW,241 000 km,2 690 000,MERCEDES-BENZ C 220 T CDI BlueEFFICIENCY Elegance
Dízel,2009/12,2 143 cm³,170 LE,125 kW,277 448 km,2 700 000,MERCEDES-BENZ C 220 T CDI BlueEFFICIENCY Avantgarde
Dízel,2007/5,2 148 cm³,170 LE,125 kW,190 300 km,2 750 000,MERCEDES-BENZ C 220 CDI Avantgarde (Automata) AMG Pakett
Dízel,2008/11,2 148 cm³,170 LE,125 kW,283 000 km,2 750 000,MERCEDES-BENZ C 220 T CDI Avantgarde Logic7!HarmanKardon!Nagy navi!
Dízel,2007/11,2 148 cm³,170 LE,125 kW,147 111 km,2 790 000,MERCEDES-BENZ C 220 CDI Elegance (Automata)
Dízel,2010/7,2 143 cm³,170 LE,125 kW,177 749 km,2 790 000,MERCEDES-BENZ C 220 T CDI BlueEFFICIENCY Avantgarde (Automata)
